FAC,FileHospitalName,DateModified,DocumentHospitalName,StrategicPlanDate,LevelsCount,HierarchyMethod,L1Objective,L2Objective,L3Objective
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,Strategic Priorities (apply to each pillar),"Put quality first, in every action, every day to continuously create an excellent care experience for each and every patient.",nf
597,ALMONTE_GENERAL,2025-12-02,Mississippi River Health Alliance,2023-2025,1,1-text-based,Compassionate Care,nf,nf
597,ALMONTE_GENERAL,2025-12-02,Mississippi River Health Alliance,2023-2025,1,1-text-based,Skilled Team,nf,nf
597,ALMONTE_GENERAL,2025-12-02,Mississippi River Health Alliance,2023-2025,1,1-text-based,Sustainable Organization,nf,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,Explore collaborative opportunities for quality of care and service excellence within our community.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,Proactively respond to our community’s evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver, and the seamlessness of our patient, resident, and client experience across our neighbouring healthcare organizations.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,Build our people's capacity through targeted opportunities for professional and leadership development.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Link our people strategy to maintain a culture of mutual respect, compassion, recognition, and support our team’s safety, mental health, and wellness.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Co-design our physical infrastructure by engaging patients, resident, clients, and providers to maximize the experience we provide while efficiently addressing the future clinical, environmental and community needs.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Foster relationships to enhance patient, resident, client and family partnerships, improving the overall experience.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Strengthen linkages with the Ottawa West Four Rivers OHT, improving the overall population health with a focus on person centred care through enhanced experiences, reinvesting in care, and improving provider engagement.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Expand our reach by leveraging innovative care delivery models, emphasizing, accessibility, quality, and efficiency of care for our community.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Develop a culture founded in diversity, equity and inclusion that drives decision making, service delivery, leadership, and partnerships.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),PERSON CENTRED CARE,"Enhance two-way engagement with our community, promoting responsiveness, mutual understanding, and collaboration.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,Explore collaborative opportunities for quality of care and service excellence within our community.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,Proactively respond to our community’s evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver, and the seamlessness of our patient, resident, and client experience across our neighbouring healthcare organizations.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,Build our people's capacity through targeted opportunities for professional and leadership development.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Link our people strategy to maintain a culture of mutual respect, compassion, recognition, and support our team’s safety, mental health, and wellness.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Co-design our physical infrastructure by engaging patients, resident, clients, and providers to maximize the experience we provide while efficiently addressing the future clinical, environmental and community needs.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Foster relationships to enhance patient, resident, client and family partnerships, improving the overall experience.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Strengthen linkages with the Ottawa West Four Rivers OHT, improving the overall population health with a focus on person centred care through enhanced experiences, reinvesting in care, and improving provider engagement.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Expand our reach by leveraging innovative care delivery models, emphasizing, accessibility, quality, and efficiency of care for our community.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Develop a culture founded in diversity, equity and inclusion that drives decision making, service delivery, leadership, and partnerships.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR INFRASTRUCTURE,"Enhance two-way engagement with our community, promoting responsiveness, mutual understanding, and collaboration.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,Explore collaborative opportunities for quality of care and service excellence within our community.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,Proactively respond to our community’s evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver, and the seamlessness of our patient, resident, and client experience across our neighbouring healthcare organizations.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,Build our people's capacity through targeted opportunities for professional and leadership development.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Link our people strategy to maintain a culture of mutual respect, compassion, recognition, and support our team’s safety, mental health, and wellness.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Co-design our physical infrastructure by engaging patients, resident, clients, and providers to maximize the experience we provide while efficiently addressing the future clinical, environmental and community needs.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Foster relationships to enhance patient, resident, client and family partnerships, improving the overall experience.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Strengthen linkages with the Ottawa West Four Rivers OHT, improving the overall population health with a focus on person centred care through enhanced experiences, reinvesting in care, and improving provider engagement.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Expand our reach by leveraging innovative care delivery models, emphasizing, accessibility, quality, and efficiency of care for our community.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Develop a culture founded in diversity, equity and inclusion that drives decision making, service delivery, leadership, and partnerships.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PARTNERS,"Enhance two-way engagement with our community, promoting responsiveness, mutual understanding, and collaboration.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,Explore collaborative opportunities for quality of care and service excellence within our community.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,Proactively respond to our community’s evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver, and the seamlessness of our patient, resident, and client experience across our neighbouring healthcare organizations.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,Build our people's capacity through targeted opportunities for professional and leadership development.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Link our people strategy to maintain a culture of mutual respect, compassion, recognition, and support our team’s safety, mental health, and wellness.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Co-design our physical infrastructure by engaging patients, resident, clients, and providers to maximize the experience we provide while efficiently addressing the future clinical, environmental and community needs.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Foster relationships to enhance patient, resident, client and family partnerships, improving the overall experience.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Strengthen linkages with the Ottawa West Four Rivers OHT, improving the overall population health with a focus on person centred care through enhanced experiences, reinvesting in care, and improving provider engagement.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Expand our reach by leveraging innovative care delivery models, emphasizing, accessibility, quality, and efficiency of care for our community.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Develop a culture founded in diversity, equity and inclusion that drives decision making, service delivery, leadership, and partnerships.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),FINANCIAL STEWARDSHIP,"Enhance two-way engagement with our community, promoting responsiveness, mutual understanding, and collaboration.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,Explore collaborative opportunities for quality of care and service excellence within our community.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,Proactively respond to our community’s evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver, and the seamlessness of our patient, resident, and client experience across our neighbouring healthcare organizations.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,Build our people's capacity through targeted opportunities for professional and leadership development.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Link our people strategy to maintain a culture of mutual respect, compassion, recognition, and support our team’s safety, mental health, and wellness.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Co-design our physical infrastructure by engaging patients, resident, clients, and providers to maximize the experience we provide while efficiently addressing the future clinical, environmental and community needs.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Foster relationships to enhance patient, resident, client and family partnerships, improving the overall experience.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Strengthen linkages with the Ottawa West Four Rivers OHT, improving the overall population health with a focus on person centred care through enhanced experiences, reinvesting in care, and improving provider engagement.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Expand our reach by leveraging innovative care delivery models, emphasizing, accessibility, quality, and efficiency of care for our community.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Develop a culture founded in diversity, equity and inclusion that drives decision making, service delivery, leadership, and partnerships.",nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment.,nf
599,ARNPRIOR_DISTRICT_MEMORIAL,2025-12-02,Arnprior Regional Health,2023-2026,2,2-analytic (priorities list not explicitly mapped to each direction),OUR PEOPLE,"Enhance two-way engagement with our community, promoting responsiveness, mutual understanding, and collaboration.",nf
606,BARRIE_ROYAL_VICTORIA_REG_HC,2025-12-02,Royal Victoria Regional Health Centre,2024-2034,1,1-text-based,Make exceptional patient and family experiences,nf,nf
