fac,extraction_date,objective_number,l1_title,l1_text
686,NA,1,Focus on quality in delivering our services,"In focusing on quality we hold ourselves to the highest standards by ensuring that we deliver care based on evidence based best practices and by always putting clients first.

---

L1.2_TITLE: Create and Sustain Organizational Resilience
L1.2_TEXT:
By increasing resilience, we increase our effectiveness and help to ensure our sustainability.

---

L1.3_TITLE: Integrate and partner with others to better serve our communities
L1.3_TEXT:
Through partnerships and collaboration, we lead and participate in the development of a high performing health care system locally, regionally and province wide.

---

L1.4_TITLE: Seek and Optimize Financial Resources
L1.4_TEXT:
Through partnerships and collaboration we will lead and participate in the development of a high-performing health care system locally, regionally and province wide.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-structured five-year strategic plan with clear organizational identity and comprehensive service offerings. The document provides extensive background on the organization's role as a multi-service facility serving approximately 4,300 residents across multiple communities including Indigenous populations. Strong emphasis on partnerships and collaboration throughout. The strategic goals are consistently formatted with brief descriptive text followed by detailed implementation actions. Document includes comprehensive listing of 19 programs and services from acute care to specialized programs. The plan demonstrates good strategic thinking with focus on quality, resilience, partnerships, and financial sustainability. Mission, vision, and values are clearly articulated with specific organizational values (Respect, Trust, Integrity, Compassion, Inclusiveness) well-defined. The document shows strong community orientation and recognition of diverse populations served.
=====================================
END OF EXTRACTION - HOSPITAL 31
=====================================
```"
695,NA,1,Quality,"Providence Care enhances the quality of life for the people we serve, demonstrating that:

Our people foster meaningful partnerships with the people we serve to achieve the best possible outcomes and experiences.

Our teams strive to exceed standards of excellence through a commitment to equity and accountability.

We embrace quality improvement, driven by collaboration and a shared vision for better care and services.

---

L1.2_TITLE: Research & Innovation
L1.2_TEXT:
Providence Care drives meaningful improvement through innovation, guided by research and learning, demonstrating that:

A culture of curiosity and transformation is nurtured.

Our teams actively seek, generate, and apply best practices to deliver equitable, person-centred care.

Research is advanced by fostering discovery and encouraging diverse perspectives.

We share our knowledge openly to inspire progress and benefit the broader community.

---

L1.3_TITLE: Sustainability
L1.3_TEXT:
Providence Care manages our resources thoughtfully and sustainably, demonstrating that:

Our resources are maximized to meet the diverse needs of our people and the communities we serve.

Our services are strategically integrated to create lasting value and equitable access.

Our investments prioritize improvements that enhance the well-being of individuals, care of the earth, and long-term community health.

A culture of generosity, collaboration and shared responsibility thrives.

---

L1.4_TITLE: Access
L1.4_TEXT:
Providence Care partners across the continuum of care to improve equitable access for all, demonstrating that:

Our services are widely recognized and adapt to emerging needs.

Our services are inclusive, trusted, and accessible to individuals of all identities, abilities, and backgrounds—free from discrimination and system inequities.

Our services support reconciliation and respect for Indigenous identities, histories, and cultures.

Our teams build respectful partnerships to optimize transitions in care and enhance the experience of those we serve.

---

L1.5_TITLE: Inclusive & Healthy workplace
L1.5_TEXT:
Providence Care fosters the health, well-being, and belonging of everyone who works, learns, or volunteers with us, demonstrating that:

Our workplaces are inclusive, safe and promote overall well-being free from discrimination and systemic inequities.

Our people are encouraged to pursue lifelong learning, continuous growth and development.

Our people feel valued and appreciated through recognition of their contributions and perspectives.

Our communication is dynamic and effective.

---

L1.6_TITLE: nf
L1.6_TEXT: nf

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed strategic plan brochure with professional presentation and clear organizational identity. The document emphasizes Providence Care's Catholic health organization identity and specialization in aging, mental health, palliative care, and rehabilitation services. The six strategic priorities are consistently formatted with descriptive text followed by ""demonstrating that:"" statements that bridge into specific goals/initiatives. Strong emphasis on values-based care with clear articulation of organizational values (Respect & Dignity, Compassion, Stewardship, Inclusion). The plan includes comprehensive service listings across multiple sites (Providence Care Hospital, Providence Manor, community locations, and transitional care centre). Document shows good strategic thinking with focus on equity, reconciliation, and person-centered care. The tagline ""more than healthcare"" and emphasis on ""more innovation, more compassion, more heart"" reflects organizational culture. Note that the sixth strategic priority appears to be missing from this document version, as the structure suggests six priorities but only five are detailed.
=====================================
END OF EXTRACTION - HOSPITAL 32
=====================================
```"
696,NA,1,System Integration,"BRH believes that each organization has strength and capacity to provide excellent services and by working together, actively removing barriers, we can respond to people's holistic needs timely, we can prevent people needing help falling through the cracks, and we can uphold a world-class healthcare system for all.

---

L1.2_TITLE: People Centered-Care
L1.2_TEXT:
BRH believes that the system should work for the people and not the people trying to figure out how to navigate the complex system. We see individuals as a whole person, with worth and dignity, and are deserving of the best care possible at the right place, the right time, the right provider, and as close to home as possible.

---

L1.3_TITLE: Infrastructure
L1.3_TEXT:
In order to provide the best care possible, BRH believes in having the right infrastructure to support the work that we do - physical, technological, data, equipment, and processes. We believe in proactive maintenance and advocacy to maintain the resources that are needed to provide the best care possible. Continuous quality improvement is embedded in everything that we do.

---

L1.4_TITLE: Health and Human Resources
L1.4_TEXT:
The backbone of our services is our people. Our employees, our leaders, our physicians, our partners, our volunteers. Our people's welfare is our priority. BRH believes in fair and equitable treatment, in providing a safe and welcoming work environment where people thrive and pursue continuous growth, and where people are valued.

---

L1.5_TITLE: Communication
L1.5_TEXT:
The heart of what we do is dependent on the quality of our communication, BRH believes in timely, responsive, transparent, and clear communication as the vehicle to get our work done and to serve effectively. BRH is committed to ongoing improvement and to ensuring that our people, our community members, our partners, are well-informed and proactively engaged with our organization.

---

L1.6_TITLE: Fiscal Accountability
L1.6_TEXT:
BRH believes in managing our resources effectively so we can continue to provide excellent services, we can continue to think outside the box, and we can continue to invest in the future of healthcare in our communities.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-structured operational plan with clear organizational mission and values framework. The document begins with comprehensive mission statement and detailed ARC Values (Accountability, Respect, Courage to Excel) with extensive behavioral descriptors. The six Strategic Pillars are consistently formatted with clear descriptive text followed by detailed goals and measurement criteria. Each pillar includes specific, measurable objectives with clear success indicators. The plan demonstrates strong organizational culture focus with emphasis on people-centered care and system integration. Document is professionally presented with good visual organization including facility photos. The extensive values section and detailed measurement criteria indicate a mature strategic planning process with strong emphasis on accountability and continuous improvement.
=====================================
END OF EXTRACTION - HOSPITAL 33
=====================================
```"
701,NA,1,Patient Care Excellence,"At Mackenzie Health, Patient Care Excellence is the driving force behind everything we do, making it the focal point of our 2025-2028 Strategic Plan.

Looking ahead and building on the foundations of quality and safety, we're deepening our focus on compassionate, person-centred care. This includes reinforcing our commitment to empathy in every interaction and harnessing digital innovations and intelligent systems to elevate the care experience. These efforts will help empower Mackenzie Health to deliver exemplary, reliable and high-quality care every time — creating a world-class experience for every person we serve.

---

L1.2_TITLE: People are our Strength
L1.2_TEXT:
Our people at Mackenzie Health play a critical role in achieving patient care excellence and enabling us to deliver on our strategic priorities. The dedication of staff, physicians and volunteers to excellence, compassion and collaboration underpins our delivery of safe, high-quality, person-centred care.

Looking ahead and building on the foundation of recruitment, retention and high reliability, Mackenzie Health will modernize corporate services systems and workflows through a modern Enterprise Resource Planning (ERP) system, advance learning and career pathways, invest in leadership development and continue to cultivate a strong sense of belonging, wellness and safety.

---

L1.3_TITLE: Growing with our Communities
L1.3_TEXT:
Meeting the needs of our fast-growing communities is a critical priority that requires bold action and ongoing investment.

However, rising emergency visits and complex care needs — driven by population growth, aging demographics and limited community-based options — are placing increasing strain on the system. Western York Region is growing at a rapid pace. In 2021, its population was 600,000. In 2031, the population will increase by 120,000. The seniors' population has also grown by 23 per cent. Mackenzie Health's Emergency Department is now the second busiest in Ontario. These capacity pressures are not sustainable. Expanding our specialized services is essential to delivering timely, high-quality, person-centred care close to home.

---

L1.4_TITLE: Integrated Care
L1.4_TEXT:
Integrated Care is integral to building healthier communities and ensuring people receive the right care, at the right time, in the right place. With rapid population growth, record-high emergency department volumes and limited hospital resources, expanding hospital-based services alone is not sustainable. To preserve our capacity for acute and specialized care, the broader health system must be strengthened through investments in care models that help keep people healthier in the community.

Looking ahead to 2025–2028, Mackenzie Health is working with partners to co-develop new, team-based primary care models supported by digital tools. These initiatives align with the Ontario Ministry of Health's Primary Care Action Plan and its $1.8 billion investment in expanding primary care teams.

---

L1.5_TITLE: Education and Research
L1.5_TEXT:
As part of our evolution, education and research are playing a greater role in advancing care quality, sparking innovation and strengthening the health system for the future.

Looking ahead to 2025-2028, an expanded teaching and research environment will enhance patient care, improve recruitment and retention, support community and system development, and strengthen primary and integrated care. Research will be central to improving care access, advancing patient outcomes and supporting learners in achieving their academic and professional goals.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium-High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed and professionally presented strategic plan with clear visual identity and strong narrative structure. The document demonstrates sophisticated strategic thinking with five main areas of focus supported by three enablers and four organizational commitments. Each strategic priority includes contextual background and forward-looking vision statements. The plan shows evidence of environmental scanning, particularly around demographic pressures and capacity challenges in Western York Region. Strong emphasis on building a ""modern, connected hospital network for the future"" as an overarching transformation theme. Document includes specific data points (population growth, emergency department volumes) that ground the strategic directions in community reality. The visual design with interconnected priority areas effectively communicates the integrated nature of the strategic approach. Goals and initiatives under each priority provide good specificity for Level 2 extraction.
=====================================
END OF EXTRACTION - HOSPITAL 34
=====================================
```"
707,NA,1,Providing the Best Possible Patient Experience,"Pursuing the journey of becoming a High-Reliability Organization.

Advancing our master program and plan, working closely with our Foundation and partners. Continually improving and building pride in the overall experience of our hospital.

Leveraging current and emerging technology to deliver more efficient and effective patient and family-centric care.

---

L1.2_TITLE: Continually Building a Passionate Team
L1.2_TEXT:
Continually leveraging creative strategies and emphasizing what makes Ross Memorial Hospital special to support, recruit, and retain our people.

Purposefully nurturing and reinforcing our Ross Memorial culture.

Supporting our physicians and their work life.

---

L1.3_TITLE: Anticipating and Responding to the Needs of our Community
L1.3_TEXT:
Collaborating and partnering with our Ontario Health Team (OHT) and community partners to identify and address community needs.

Optimizing our service offerings to best meet the continually changing needs of the community.

Ensuring our services are equitable, inclusive, and respectful of everyone in our community.

---

L1.4_TITLE: Championing System Improvements
L1.4_TEXT:
Working within the Ontario health system to best position RMH in the post-pandemic reality.

Identifying new and different approaches to funding and resourcing to deliver on our strategic directions.

Working with others to improve the efficiency of our local system through creative partnerships.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed strategic plan document with professional presentation and clear visual design featuring community-focused illustrations. The plan is organized around four Strategic Directions with corresponding Strategic Priorities that provide moderate detail about focus areas. Each strategic direction includes 3-4 specific priority statements that bridge between high-level direction and actionable goals. The document demonstrates thoughtful consideration of post-pandemic healthcare delivery and emphasizes community partnership through Ontario Health Teams. Strong visual branding with consistent use of hospital logo and community imagery. The plan shows evidence of stakeholder engagement and community focus, with particular emphasis on High-Reliability Organization journey and system-level collaboration. Mission, Vision, and Values are clearly articulated with the mission ""Delivering on the promise of a better healthcare experience"" providing a unifying theme.
=====================================
END OF EXTRACTION - HOSPITAL 35
=====================================
```"
709,NA,1,Services,"Transform and grow our services to meet the needs of the community and greater catchment area.

---

L1.2_TITLE: Quality (&Risk)
L1.2_TEXT:
Provide Quality Care that is patient centered, timely, efficient, effective, equitable and safe

---

L1.3_TITLE: Human Resources
L1.3_TEXT:
A Workplace that nurtures accountability, individual and collective potential and a culture of kindness and inclusion.

---

L1.4_TITLE: Finance (& Resources)
L1.4_TEXT:
A sustainable and resilient Health Organization that is here for future generations.

---

L1.5_TITLE: Stewardship & Partnerships
L1.5_TEXT:
Harness Innovation and Partnerships to deliver a quality, expanded, integrated network of sustainable regional care, demonstrating responsible use of public funds.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: This is a strategy refresh document rather than a full strategic plan, designed to assist with bridging CEOs and facilitate common understanding and alignment for the next 12-18 months. The document is professionally presented with clear organizational framework including refreshed purpose, vision, mission, and values. The five strategic goals are consistently formatted with very specific, measurable objectives including detailed targets, timelines, and baseline metrics. Notable features include specific utilization targets (OR hours, diagnostic imaging volumes), financial balance targets, supply chain reduction goals, and staff engagement metrics. The plan demonstrates strong operational focus with concrete deliverables like accreditation processes, electronic documentation implementation, and primary care provider recruitment. The document shows sophisticated performance measurement approach with detailed baselines and specific percentage targets. Strong emphasis on Master Services Planning and regional partnerships.
=====================================
END OF EXTRACTION - HOSPITAL 36
=====================================

=====================================
END OF BATCH 0
=====================================
Total Hospitals Extracted: 36
Protocol Version: V4.1
Extraction Complete: 2024-12
```"
714,NA,1,Excellence in Care: Powered by Discovery,"Throughout our engagement process, St. Joseph's was continuously described as a leader in providing exemplary care to everyone we serve, without distinction. Across every program and service, people shared positive experiences about our team and our approach to wholistic care and innovation. We will build on this foundation and through discovery in research, we will transform and improve care.

---

L1.2_TITLE: A Vibrant Workforce
L1.2_TEXT:
We have exceptional people delivering compassionate care. With a strong and unique workplace built on humility and respect, we will continue to support our people and help our culture flourish. We are dedicated to creating a workplace that supports the well-being of our staff, clinicians, volunteers and students—helping them thrive in body, mind and spirit.

---

L1.3_TITLE: Partnering for Impact
L1.3_TEXT:
As an anchor organization in Southwestern Ontario, St. Joseph's plays an important role in promoting a seamless patient experience across our region. Our internal and external communities recognize the depth and breadth of our partnerships in support of a better, more integrated care experience for those we serve.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium-High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed and professionally presented strategic plan with clear mission, vision, and values framework. The document demonstrates sophisticated strategic thinking with three core commitments that are consistently formatted and include both descriptive text and detailed objectives/goals beneath each. Strong emphasis on the mustard seed symbolism connecting to Catholic heritage and organizational growth metaphor. The plan shows evidence of extensive community engagement (over 1,000 individuals consulted) and includes diverse stakeholder input. Document structure clearly distinguishes between strategic priorities (L1) and implementation goals (L2). Notable features include focus on holistic care, research integration through Lawson Research Institute, and regional partnership emphasis. The plan balances aspirational language with specific measurable objectives at the L2 level.
=====================================
END OF EXTRACTION - HOSPITAL 37
=====================================

=====================================
END OF BATCH 0
=====================================
Total Hospitals Extracted: 37
Protocol Version: V4.1
Extraction Complete: 2024-12
```"
724,NA,1,Quality of Care & Patient/Resident Safety,"We will provide bilingual, high-quality, safe and timely patient and resident care to ensure the best outcomes and high level of satisfaction for the people we serve.

---

L1.2_TITLE: Our People & Our Mission
L1.2_TEXT:
We will be a ""workplace of choice"" in our area and focus on our physicians and our staff.

---

L1.3_TITLE: Our Community: Working Together for Better Integration
L1.3_TEXT:
We will work collaboratively and creatively with other health care providers and stakeholders in order to deliver innovative, effective, integrated quality care.

---

L1.4_TITLE: Financial Responsibility, Accountability & Transparency
L1.4_TEXT:
We will plan for and maintain financial stability in order to deliver and sustain quality patient and resident care services.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed bilingual strategic plan with professional visual presentation showing clear alignment between organizational priorities and provincial/regional strategic directions. The document demonstrates good strategic thinking with four comprehensive strategic directions that cover the full scope of hospital operations. Each strategic direction includes concise descriptive text at L1 level followed by detailed goals, plans/frameworks, and specific priorities/actions at L2 level. The visual design effectively shows the hierarchical alignment from Provincial Directions through Ontario Health Directions and CHSO Strategic Directions to the hospital's own strategic directions. The plan includes extensive L2 content with specific initiatives, frameworks, and measurable actions. The bilingual presentation (French/English) reflects the hospital's commitment to serving its francophone community. The mission statement ""Together, Guided by Medicine, Inspired by Faith, In a place called Home"" provides strong organizational identity. Document structure is clear and consistent across all four strategic directions.
=====================================
END OF EXTRACTION - HOSPITAL 40
=====================================

=====================================
END OF BATCH 0
=====================================
Total Hospitals Extracted: 40
Protocol Version: V4.1
Extraction Complete: 2024-12
```"
734,NA,1,Exceptional Patient Care,"Every patient we serve will receive personalized, compassionate, and high-quality care. Supporting their healing, well-being and satisfaction throughout their healthcare journey.

---

L1.2_TITLE: Outstanding Team
L1.2_TEXT:
We strive to cultivate a skilled, engaged, and empowered workforce, fostering a culture of collaboration, professional development, and excellence to deliver the best possible outcomes for our patients and community.

---

L1.3_TITLE: Operational Excellence
L1.3_TEXT:
Our aim is to optimize efficiency, effectiveness, and safety in all aspects of our operations. Leveraging best practices, technology, and continuous improvement initiatives to achieve the highest standards of service delivery and resource management.

---

L1.4_TITLE: Community Partnerships and Connection
L1.4_TEXT:
We are committed to building strong partnerships and meaningful connections with our community stakeholders, collaborating to address local health needs, promote wellness, and enhance access to care through outreach, education, and advocacy.

---

L1.5_TITLE: Innovation and Digital Enablement
L1.5_TEXT:
Embracing innovation and leveraging digital technologies, we seek to drive transformative change in healthcare delivery, enhancing accessibility, efficiency, and quality of care through the adoption of cutting-edge solutions and data-driven approaches.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium-High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-structured and professionally presented three-year strategic plan with clear vision ""to foster healthier communities through exceptional rural health care, close to home"" and mission ""to deliver high-quality, integrated and innovative care, together with our partners."" The document demonstrates thoughtful strategic planning with comprehensive stakeholder engagement including 406 survey responses, 10 focus groups, and multiple interviews. Each of the five Strategic Directions is consistently formatted with clear descriptive text followed by specific commitments and outcomes. The plan includes detailed demographic analysis showing significant population growth projections (25% increase in 65+ population by 2024, 41% growth by 2046) and addresses cultural diversity including Indigenous communities. Strong emphasis on rural healthcare delivery and community partnerships. The plan acknowledges land acknowledgment for Indigenous peoples and demonstrates cultural sensitivity. Document quality is high with clear organization, professional presentation, and evidence-based strategic thinking.
=====================================
END OF EXTRACTION - HOSPITAL 43
=====================================

=====================================
END OF BATCH 0
=====================================
Total Hospitals Extracted: 43
Protocol Version: V4.1
Extraction Complete: 2024-12
```"
736,NA,1,Engage,"We will be first in the hearts and minds of the communities we serve. We will significantly raise our profile in the communities we serve and will be the first choice for both quality care and philanthropy.

---

L1.2_TITLE: Inspire
L1.2_TEXT:
We will inspire philanthropic investments that advance leading-edge care. We will demonstrate to our communities how donor support drives a culture of exemplary care and clinical excellence for patients and families today and in the years to come.

---

L1.3_TITLE: Deliver
L1.3_TEXT:
We will support innovative solutions to Southlake's most pressing challenges. We will partner with our supporters and investors to deliver on our shared promise to improve the health of our communities and shape the future of healthcare.

---

L1.4_TITLE: Grow
L1.4_TEXT:
We will develop our fundraising capacity to attract new donors from our growing communities to cultivate long-term relationships with current investors. We will lead and nurture a culture of philanthropy and fundraising in our communities to support exemplary care and clinical excellence for our communities.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium
SCOPE: Focused
OVERALL_QUALITY_NOTES: Professional foundation strategic plan with clear visual design and consistent structure. The plan is specifically focused on philanthropic and fundraising activities rather than clinical operations, which is appropriate for a foundation document. Each of the four strategic pillars has descriptive text explaining the strategic direction, followed by specific key outcomes that would be Level 2 content. The central organizing concept of ""Shape the Future of Healthcare"" effectively unifies the four pillars. The plan includes mission, vision, values, and shared purpose statements that provide good organizational context. The document demonstrates solid strategic thinking for a healthcare foundation with clear differentiation between community engagement, donor inspiration, partnership delivery, and capacity building. Quality presentation with professional graphics and layout.
=====================================
END OF EXTRACTION - HOSPITAL 44
=====================================

=====================================
END OF BATCH 0
=====================================
Total Hospitals Extracted: 44
Protocol Version: V4.1
Extraction Complete: 2024-12
```"
745,NA,1,We Are Connected,"As partners in the Couchiching OHT, OSMH will champion the health and well-being of the populations we serve based on the population health needs, ensuring that the patient and caregiver are active partners.

---

L1.2_TITLE: We are Soldiers'
L1.2_TEXT:
The OSMH team is inspired and fully engaged in our shared purpose, embrace our OSMH values and support a culture of inclusivity. The OSMH team's professional aspirations are fulfilled with opportunities for development to be driven by empowerment of staff and industry best standards.

---

L1.3_TITLE: We Adapt and Advance
L1.3_TEXT: nf

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium
SCOPE: Focused
OVERALL_QUALITY_NOTES: Well-structured strategic plan document with clear organizational identity and values framework. The plan demonstrates thoughtful strategic planning process involving over 670 team members, patients, families, caregivers and partners from over 40 agencies. Document shows strong emphasis on community partnership through the Couchiching Ontario Health Team. The three strategic themes are clearly articulated, though the third theme ""We Adapt and Advance"" lacks descriptive text at the L1 level, moving directly to specific priorities. The plan includes comprehensive background on the strategic planning process and lessons learned from COVID-19 pandemic response. Strong integration of Indigenous perspectives with inclusion of ""All my relations – Toutes mes relations – Mitakuye-Oyasin"" in the shared purpose section. Document quality is professional with good visual design and clear organizational structure.
=====================================
END OF EXTRACTION - HOSPITAL 45
=====================================
```"
751,NA,1,Excellent care,"We are the trusted leader in excellent, safe and compassionate pediatric care and expertise and always strive to know, do and be even better.

---

L1.2_TITLE: Everyone belongs
L1.2_TEXT:
We respond to every unique need, going above and beyond to ensure safe and supportive spaces for Indigenous and diverse communities.

---

L1.3_TITLE: Strong team
L1.3_TEXT:
We branch out to attract, support and teach the very best people and empower everyone at CHEO to make big, bold and meaningful contributions.

---

L1.4_TITLE: Bright future
L1.4_TEXT:
We all develop and leverage clinical expertise, research and innovation to create a stronger, healthier tomorrow — for kids here and around the world.

---

L1.5_TITLE: Connected care
L1.5_TEXT:
We work, educate, collaborate and advocate with others to grow capacity, build expertise and bring care closer to home.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium-High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed and professionally presented strategic plan with clear mission focus on pediatric care. The document is organized around five strategic priorities that are consistently formatted, each with a brief descriptive statement followed by ""Why it matters"" rationale and ""How we'll get there"" implementation approaches. The plan demonstrates thoughtful strategic thinking with seven guiding principles that emphasize patient-centered care, evidence-based practice, and inclusive culture. Strong emphasis on CHEO's role as a leading pediatric health system serving one of Canada's largest regions. The document includes both English and French versions. Each priority area includes detailed goals and initiatives that would provide substantial Level 2 content. The plan shows sophisticated understanding of healthcare challenges including safety culture, equity and inclusion, workforce development, research integration, and partnership building.
=====================================
END OF EXTRACTION - HOSPITAL 1
=====================================

=====================================
END OF BATCH 0
=====================================
Total Hospitals Extracted: 1
Protocol Version: V4.1
Extraction Complete: 2024-12
```"
751,NA,1,Excellent care,"We are the trusted leader in excellent, safe and compassionate pediatric care and expertise and always strive to know, do and be even better.

We foster an environment that leverages evidence-based research and care excellence, which enables us to offer the highest quality, innovative care designed for the unique needs of each child and youth.

We assess every child and youth for the full range of needs — including physical, emotional, developmental and social — which enables us to best support all of them in their journey.

We cultivate and celebrate a robust safety culture that ensures the care we provide results in the best possible outcome for each child and youth.

---

L1.2_TITLE: Everyone belongs
L1.2_TEXT:
We respond to every unique need, going above and beyond to ensure safe and supportive spaces for Indigenous and diverse communities.

We ensure CHEO is free from discrimination and safe and inclusive for everyone to create better outcomes for all.

We ensure care is appropriate and equitable to best meet the needs of the Indigenous and diverse communities we serve.

---

L1.3_TITLE: Strong team
L1.3_TEXT:
We branch out to attract, support and teach the very best people and empower everyone at CHEO to make big, bold and meaningful contributions.

Attracting and retaining the best and brightest means CHEO can continue to lead excellent pediatric care in the communities we serve and provide thought leadership that improves children's health.

Being an inspiring, supportive place to work and learn enables us to build on an innovative team of highly-skilled experts.

Working with those with lived experience ensures the care we provide is adapted to the unique needs of the diverse communities we serve.

---

L1.4_TITLE: Bright future
L1.4_TEXT:
We all develop and leverage clinical expertise, research and innovation to create a stronger, healthier tomorrow — for kids here and around the world.

Developing homegrown research and quality improvements ensures children and youth get the best care.

Leveraging new research enables us to improve outcomes in meaningful ways for children and youth as well as improve the broader health system.

---

L1.5_TITLE: Connected care
L1.5_TEXT:
We work, educate, collaborate and advocate with others to grow capacity, build expertise and bring care closer to home.

Ensuring children, youth and families have access to high-quality pediatric care, no matter where they live, will improve health outcomes.

By working in close partnership and sharing CHEO expertise, CHEO and its partners can ensure every child and youth gets the best care possible.

CHEO is a best-in-class training ground for health professionals, and it is essential we attract diverse learners who choose to train and work here.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium-High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Well-designed and professionally presented strategic plan with clear mission focus on pediatric care. The document demonstrates strong strategic thinking with five well-articulated strategic priorities, each supported by clear rationale statements explaining ""Why it matters"" and specific implementation approaches under ""How we'll get there."" The plan shows sophisticated understanding of pediatric healthcare challenges and emphasizes evidence-based care, equity and inclusion, workforce development, research and innovation, and collaborative partnerships. Strong emphasis on serving Indigenous and diverse communities throughout. The seven guiding principles provide additional strategic context. Document structure is very clear and consistent across all priorities. The plan balances aspirational vision with concrete implementation strategies, though the detailed tactics are appropriately excluded from L1 extraction per protocol.
=====================================
END OF EXTRACTION - HOSPITAL 46
=====================================
```"
753,NA,1,Serve a growing and aging population,"To meet the growing and complex needs of a diverse population, we will take a proactive, multidisciplinary approach with our partners to serve 210,000 more patients in Ottawa and Eastern Ontario within the next 10 years, including 80,000 persons aged 65 and over.

---

L1.2_TITLE: Expand French-language services
L1.2_TEXT:
We will increase access to services in French to better serve our communities, knowing that receiving health care in one's mother tongue is beneficial for health. Through close and active collaboration with other health care institutions, we will create partnerships that reinforce the services provided in French and transform the patient experience across the entire health sector.

---

L1.3_TITLE: Strengthen our social accountability
L1.3_TEXT:
In recognizing our social accountability toward the wide-range of communities that we serve, we will offer services suited to the needs of vulnerable populations to create a more equitable and inclusive healthcare system while reducing health disparities.

---

L1.4_TITLE: Enhance the impact of education and research
L1.4_TEXT:
We will cultivate next-generation knowledge for future-oriented care with an emphasis on multidisciplinary activity and knowledge transfers across different sectors of clinical activity. We will capitalize on Montfort's status as one of Ontario's largest hospitals in terms of obstetrical and mental health beds, with recognized programs in family medicine and orthopedic surgery, among others.

---

L1.5_TITLE: Innovate to remain a sought-after environment
L1.5_TEXT:
In the context of a health care labour shortage, we will cultivate a positive environment with priority placed on employee well-being. By supporting our teams in a stimulating, caring environment, we will retain our talent while delivering quality care with empathy and professionalism.

---

=====================================
QUALITY INDICATORS (Overall Document)
=====================================
SPECIFICITY: Medium-High
SCOPE: Comprehensive
OVERALL_QUALITY_NOTES: Professionally designed bilingual strategic plan with strong visual presentation and clear organizational structure. The document demonstrates sophisticated strategic thinking with a unified vision across three distinct organizational entities (Hôpital Montfort as academic hospital, Savoir Montfort for research/education, Santé Montfort for partnerships). Each of the five key goals includes clear descriptive text at L1 level followed by specific numbered outcomes (17 total) that provide measurable targets and timelines. The plan shows evidence of extensive community consultation (over 1,300 participants) and includes detailed consultation methodology. Strong emphasis on Francophone identity while serving diverse communities. Document includes staff photos and quotes that personalize the strategic directions. The plan builds toward the hospital's 75th anniversary in 2028, providing a clear temporal framework. Five fundamental principles guide activities: patients first, continuous improvement, solidarity with communities, sustainable development, and recognition of Indigenous peoples' rights.
=====================================
END OF EXTRACTION - HOSPITAL 47
=====================================
```"
