FAC,HospitalName_FromFileName,DateModified,HospitalName_Detected,StrategicPlanDate,Level1_Objective,Level2_Objective,Level3_Objective,LevelsCount,HierarchyMethod
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Attract and retain the best health human resources especially as the organization grows into long-term care,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Partner with other hospitals health service providers and the FLA OHT to accelerate innovation and improve health close to home,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Consider our role as an anchor institution and support partners,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Work with municipalities and community partners to improve social determinants of health and access to care,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Continue building LACGH's rural healthcare system and further develop our connected healthcare hub,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Launch and integrate the new 128-bed long-term care home,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Support housing options for older adults,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Embrace innovation as the only means to meet the growing needs for healthcare services,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Optimize resources by working with applicable Ministries FLA OHT municipalities and the Foundation,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Reduce or proactively prevent unnecessary use of hospital services,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Review how space is used and identify opportunities for better utilization,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Relentless Communications,Enhance LACGH's scheduling and payroll systems,nf,3,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Collaborate for Exceptional Care and Experiences,Provide compassionate care and patient-centered experiences through communication and engagement with our patients families and care providers with a specific focus on local Indigenous communities,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Collaborate for Exceptional Care and Experiences,Continue to enhance quality and safety in alignment with our quality priorities,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Collaborate for Exceptional Care and Experiences,Leverage technology to advance the next phase of digital care delivery,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Engage Support and Inspire Our People,Acknowledge respect and embrace diversity equity inclusion and antiracism in our environments,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Engage Support and Inspire Our People,Build on a culture of empowering engagement safety trust belonging and purpose,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Engage Support and Inspire Our People,Enhance our focus on wellness and recognition aiming to be an organization of choice for employees physicians and volunteers,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Advance How We Deliver Care,Harness innovative ways of expanding access to high quality care for our local and rural communities,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Advance How We Deliver Care,Invest in relationships and collaborate with partners to achieve our vision and strategic priorities making the healthcare system more integrated for our patients,nf,2,analytic
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,nf,Middlesex Hospital Alliance,2024-forward,Advance How We Deliver Care,Advance clinical information technology capital infrastructure and financial opportunities to respond to the evolving and future needs of our hospitals and communities,nf,2,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,People,Creating a work environment that values and recognizes the contribution of every staff member in creating a positive patient care experience,Creating and upholding a culture of continuous learning focused on collaboration and teamwork,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,People,Ensure a safe healthy positive and professional work culture,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,People,Inspire and empower our people,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,People,Sustain a highly qualified healthcare workforce,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,People,Create a culture of equity diversity inclusion and accessibility,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Care,Keeping the patient at the center of every care discussion and decision,Ensuring that patient values inform every aspect of delivery,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Care,Enhance our patient and family centered culture,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Care,Improve access to care,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Care,Ensure safe and effective transitions,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Care,Implement evidence-based practices,nf,3,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Partnerships,Working collaboratively with local and community health care providers to continue to develop our care network and availability to offer a seamless care experience for our patients,nf,2,analytic
596,Alliston_Stevenson_Memorial_Hospital,nf,Stevenson Memorial Hospital,2023-2028,Investments,Operating appropriately within fiscal constraints to maximize investments in staff equipment infrastructure and improvement to provide high quality care for present and future patients,nf,2,analytic
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Your Care Experience,Ensure patients & residents experience high-quality compassionate care,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Your Care Experience,Coordinate seamless care within and amongst our facilities,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Your Care Experience,Continue care experience improvement through implementation of clinical services plan,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Great People,Empower people to provide excellent personalized and innovative care,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Great People,Ensure a strong and sustainable team of health professionals,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Great People,Be the place people choose to work,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Partners in Care,Reimagine and engage in partnerships that strengthen the network of care,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Partners in Care,Better serve community mental health and post hospital care needs with our partners,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Partners in Care,Work with Ontario Health Team partners to advance community health priorities and interests,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Places & Spaces,Develop a vision for redevelopment of Carleton Place hospital facility,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Places & Spaces,Integrate information financial and EMR systems,nf,2,text-based
597,ALMONTE_GENERAL,nf,Mississippi River Health Alliance,2023-2025,Our Places & Spaces,Function seamlessly together,nf,2,text-based
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Person Centred Care,Emphasizing our existing areas of exceptional clinical care today and continually advancing our care for tomorrow,Expand our reach by leveraging innovative care delivery models emphasizing accessibility quality and efficiency of care for our community,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Person Centred Care,Emphasizing our existing areas of exceptional clinical care today and continually advancing our care for tomorrow,Develop a culture founded in diversity equity and inclusion that drives decision making service delivery leadership and partnerships,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Person Centred Care,Explore collaborative opportunities for quality of care and service excellence within our community,nf,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Person Centred Care,Proactively respond to our community's evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration,nf,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Person Centred Care,Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver and the seamlessness of our patient resident and client experience across our neighbouring healthcare organizations,nf,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our People,Our investment in and the development of our people so our healthcare team can grow and thrive and encompassing a network of support for staff volunteers and services providers,Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our People,Our investment in and the development of our people so our healthcare team can grow and thrive and encompassing a network of support for staff volunteers and services providers,Build our people's capacity through targeted opportunities for professional and leadership development,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our People,Our investment in and the development of our people so our healthcare team can grow and thrive and encompassing a network of support for staff volunteers and services providers,Link our people strategy to maintain a culture of mutual respect compassion recognition and support our team's safety mental health and wellness,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our Infrastructure,Developing a future oriented plan and the development of our infrastructure to advance our journey as a health hub that provides the next generation care within our community,Co-design our physical infrastructure by engaging patients resident clients and providers to maximize the experience we provide while efficiently addressing the future clinical environmental and community needs,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our Infrastructure,Developing a future oriented plan and the development of our infrastructure to advance our journey as a health hub that provides the next generation care within our community,Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our Partners,Fostering productive relationships to create an integrated health care system within our community and surrounding region,Foster relationships to enhance patient resident client and family partnerships improving the overall experience,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our Partners,Fostering productive relationships to create an integrated health care system within our community and surrounding region,Strengthen linkages with the Ottawa West Four Rivers OHT improving the overall population health with a focus on person centred care through enhanced experiences reinvesting in care and improving provider engagement,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our Partners,Fostering productive relationships to create an integrated health care system within our community and surrounding region,Enhance two-way engagement with our community promoting responsiveness mutual understanding and collaboration,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Our Partners,Fostering productive relationships to create an integrated health care system within our community and surrounding region,Invigorate our community participation and volunteerism adopting differentiating approaches to attract foster and acknowledge community support,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Financial Stewardship,Ensuring ARH has the requisite resources to enable continued service excellence enhance experiences and build upon the strategic priority for the community,Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan,3,analytic
599,ARNPRIOR_DISTRICT_MEMORIAL,nf,Arnprior Regional Health,2023-2026,Financial Stewardship,Ensuring ARH has the requisite resources to enable continued service excellence enhance experiences and build upon the strategic priority for the community,Seek innovative funding mechanisms identifying unique areas of operational excellence and opportunities for industry partnerships,3,analytic
606,BARRIE_ROYAL_VICTORIA_REG_HC,nf,Royal Victoria Regional Health Centre,2024-2034,Drive clinical and academic excellence,We'll be a regional academic health sciences centre,nf,2,analytic
606,BARRIE_ROYAL_VICTORIA_REG_HC,nf,Royal Victoria Regional Health Centre,2024-2034,Cultivate fulfilled high-performing teams,The drive for excellence fuels Team RVH,nf,2,analytic
606,BARRIE_ROYAL_VICTORIA_REG_HC,nf,Royal Victoria Regional Health Centre,2024-2034,Make exceptional patient and family experiences,Offering culturally informed care Team RVH will continue to understand and honour diverse perspectives and needs,nf,2,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Clarify,Communicate this strategic plan to NSHN community including partners First Nations and municipality,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Clarify,Embed the NSHN C.A.R.E.S. values,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Clarify,Ensure capacity and capability of the Board Senior Leadership and the broader Leadership Team to execute the Hospital/Performance Improvement Plan,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Clarify,Conclude a Hospital/Performance Improvement Plan with Ontario Health,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Clarify,Identify and articulate NSHN's role in the Algoma Ontario Health Team,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Establish a sustainable multilevel provider hospitalist program,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Fully establish the Geriatric Program,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Continue to build flexibility into practices,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Identify gaps in care in our service area,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Move to a truly participatory budget process within the Leadership Team,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Implement the Performance Improvement Plan (PIP),nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Stabilize,Renew/build partnerships,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Improve,Create cultural safety throughout NSHN,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Improve,Collaborate with Maamwesying Ontario Health Team,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Improve,Be a full participant in the Algoma Ontario Health Team,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Improve,Implement ONE/Meditech Expanse digital health transformation,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Improve,Become better environmental stewards,nf,3,analytic
611,BLIND_RIVER_NORTH_SHORE_HN,nf,North Shore Health Network,2024-2026,Improve,Reach for a unified culture of one team at multiple sites,nf,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Healthcare experience,Safe trusted and quality healthcare where and when patients need it,Enhance our patient and family centered culture,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Healthcare experience,Safe trusted and quality healthcare where and when patients need it,Improve access to care,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Healthcare experience,Safe trusted and quality healthcare where and when patients need it,Ensure safe and effective transitions,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Healthcare experience,Safe trusted and quality healthcare where and when patients need it,Implement evidence-based practices,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Partnerships,Collaborate to meet the needs of our community,Seek opportunities to better integrate care,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Partnerships,Collaborate to meet the needs of our community,Foster shared leadership with our partners,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Partnerships,Collaborate to meet the needs of our community,Honour our role in sustaining a healthy community,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Team well-being,Invest in our people to be the best at what we do,Ensure a safe healthy positive and professional work culture,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Team well-being,Invest in our people to be the best at what we do,Inspire and empower our people,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Team well-being,Invest in our people to be the best at what we do,Sustain a highly qualified healthcare workforce,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Team well-being,Invest in our people to be the best at what we do,Create a culture of equity diversity inclusion and accessibility,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Resource sustainability and growth,Delivery of safe quality care through smart resource use,Strengthen our current technological physical and equipment infrastructure,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Resource sustainability and growth,Delivery of safe quality care through smart resource use,Improve information systems to support decision-making and patient care,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Resource sustainability and growth,Delivery of safe quality care through smart resource use,Modernize and expand to meet future needs of our community,3,analytic
619,BROCKVILLE_GENERAL,nf,Brockville General Hospital,nf,Resource sustainability and growth,Delivery of safe quality care through smart resource use,Streamline to preserve our health human resources,3,analytic
624,Campbellford_Memorial_Hospital,nf,Campbellford Memorial Hospital,nf,Healthcare experience,nf,nf,1,analytic
624,Campbellford_Memorial_Hospital,nf,Campbellford Memorial Hospital,nf,Team well-being,nf,nf,1,analytic
624,Campbellford_Memorial_Hospital,nf,Campbellford Memorial Hospital,nf,Partnerships,nf,nf,1,analytic
624,Campbellford_Memorial_Hospital,nf,Campbellford Memorial Hospital,nf,Investments,nf,nf,1,analytic
